school,division,latitude_school,longitude_school,season,wins_rolling_2year,games_played_rolling_2year,post_season_wins_rolling_2year,point_diff_rolling_2year,win_pct_rolling_2year
Air Force,,38.9969701,-104.8436165,2010.0,,,,,
Air Force,,38.9969701,-104.8436165,2011.0,,,,,
Air Force,,38.9969701,-104.8436165,2012.0,16.0,26.0,1.0,212.0,0.6153846153846154
Air Force,,38.9969701,-104.8436165,2013.0,13.0,26.0,0.0,64.0,0.5
Air Force,,38.9969701,-104.8436165,2014.0,8.0,25.0,0.0,-205.0,0.32
Air Force,,38.9969701,-104.8436165,2015.0,12.0,25.0,1.0,-89.0,0.48
Air Force,,38.9969701,-104.8436165,2016.0,18.0,27.0,1.0,211.0,0.6666666666666666
Air Force,,38.9969701,-104.8436165,2017.0,18.0,27.0,1.0,232.0,0.6666666666666666
Air Force,,38.9969701,-104.8436165,2018.0,15.0,25.0,1.0,104.0,0.6
Air Force,,38.9969701,-104.8436165,2019.0,10.0,24.0,0.0,41.0,0.4166666666666667
Air Force,,38.9969701,-104.8436165,2020.0,16.0,25.0,1.0,238.0,0.64
Air Force,,38.9969701,-104.8436165,2021.0,14.0,19.0,1.0,241.0,0.7368421052631579
Air Force,,38.9969701,-104.8436165,2022.0,13.0,19.0,1.0,202.0,0.6842105263157895
Air Force,,38.9969701,-104.8436165,2023.0,20.0,26.0,2.0,334.0,0.7692307692307693
Air Force,,38.9969701,-104.8436165,2024.0,19.0,26.0,2.0,314.0,0.7307692307692307
Akron,,41.0725534,-81.5083408,2010.0,,,,,
Akron,,41.0725534,-81.5083408,2011.0,,,,,
Akron,,41.0725534,-81.5083408,2012.0,2.0,24.0,0.0,-526.0,0.08333333333333333
Akron,,41.0725534,-81.5083408,2013.0,2.0,24.0,0.0,-407.0,0.08333333333333333
Akron,,41.0725534,-81.5083408,2014.0,6.0,24.0,0.0,-216.0,0.25
Akron,,41.0725534,-81.5083408,2015.0,10.0,24.0,0.0,-107.0,0.4166666666666667
Akron,,41.0725534,-81.5083408,2016.0,13.0,25.0,1.0,26.0,0.52
Akron,,41.0725534,-81.5083408,2017.0,13.0,25.0,1.0,-42.0,0.52
Akron,,41.0725534,-81.5083408,2018.0,12.0,26.0,0.0,-156.0,0.46153846153846156
Akron,,41.0725534,-81.5083408,2019.0,11.0,26.0,0.0,-181.0,0.4230769230769231
Akron,,41.0725534,-81.5083408,2020.0,4.0,24.0,0.0,-408.0,0.16666666666666666
Akron,,41.0725534,-81.5083408,2021.0,1.0,18.0,0.0,-454.0,0.05555555555555555
Akron,,41.0725534,-81.5083408,2022.0,3.0,18.0,0.0,-381.0,0.16666666666666666
Akron,,41.0725534,-81.5083408,2023.0,4.0,24.0,0.0,-377.0,0.16666666666666666
Akron,,41.0725534,-81.5083408,2024.0,4.0,24.0,0.0,-282.0,0.16666666666666666
Alabama,,33.2082752,-87.5503836,2010.0,,,,,
Alabama,,33.2082752,-87.5503836,2011.0,,,,,
Alabama,,33.2082752,-87.5503836,2012.0,22.0,26.0,2.0,635.0,0.8461538461538461
Alabama,,33.2082752,-87.5503836,2013.0,25.0,27.0,2.0,736.0,0.9259259259259259
Alabama,,33.2082752,-87.5503836,2014.0,24.0,27.0,1.0,704.0,0.8888888888888888
Alabama,,33.2082752,-87.5503836,2015.0,23.0,27.0,0.0,574.0,0.8518518518518519
Alabama,,33.2082752,-87.5503836,2016.0,26.0,29.0,2.0,558.0,0.896551724137931
Alabama,,33.2082752,-87.5503836,2017.0,28.0,30.0,3.0,686.0,0.9333333333333333
Alabama,,33.2082752,-87.5503836,2018.0,27.0,29.0,3.0,739.0,0.9310344827586207
Alabama,,33.2082752,-87.5503836,2019.0,27.0,29.0,3.0,765.0,0.9310344827586207
Alabama,,33.2082752,-87.5503836,2020.0,25.0,28.0,2.0,785.0,0.8928571428571429
Alabama,,33.2082752,-87.5503836,2021.0,24.0,26.0,3.0,750.0,0.9230769230769231
Alabama,,33.2082752,-87.5503836,2022.0,26.0,28.0,3.0,674.0,0.9285714285714286
Alabama,,33.2082752,-87.5503836,2023.0,24.0,28.0,2.0,594.0,0.8571428571428571
Alabama,,33.2082752,-87.5503836,2024.0,23.0,27.0,1.0,508.0,0.8518518518518519
App State,East,36.2114267,-81.6854278,2010.0,,,,,
App State,East,36.2114267,-81.6854278,2011.0,,,,,
App State,East,36.2114267,-81.6854278,2012.0,18.0,24.0,0.0,215.0,0.75
App State,East,36.2114267,-81.6854278,2013.0,16.0,24.0,0.0,101.0,0.6666666666666666
App State,East,36.2114267,-81.6854278,2014.0,12.0,24.0,0.0,-10.0,0.5
App State,East,36.2114267,-81.6854278,2015.0,11.0,24.0,0.0,47.0,0.4583333333333333
App State,East,36.2114267,-81.6854278,2016.0,18.0,25.0,1.0,329.0,0.72
App State,East,36.2114267,-81.6854278,2017.0,21.0,26.0,2.0,377.0,0.8076923076923077
App State,East,36.2114267,-81.6854278,2018.0,19.0,26.0,2.0,320.0,0.7307692307692307
App State,East,36.2114267,-81.6854278,2019.0,20.0,26.0,2.0,456.0,0.7692307692307693
App State,East,36.2114267,-81.6854278,2020.0,24.0,27.0,2.0,547.0,0.8888888888888888
App State,East,36.2114267,-81.6854278,2021.0,22.0,26.0,2.0,429.0,0.8461538461538461
App State,East,36.2114267,-81.6854278,2022.0,19.0,26.0,1.0,339.0,0.7307692307692307
App State,East,36.2114267,-81.6854278,2023.0,16.0,26.0,0.0,271.0,0.6153846153846154
App State,East,36.2114267,-81.6854278,2024.0,15.0,26.0,1.0,185.0,0.5769230769230769
Arizona,,32.2288054,-110.9488677,2010.0,,,,,
Arizona,,32.2288054,-110.9488677,2011.0,,,,,
Arizona,,32.2288054,-110.9488677,2012.0,11.0,25.0,0.0,16.0,0.44
Arizona,,32.2288054,-110.9488677,2013.0,12.0,25.0,1.0,-19.0,0.48
Arizona,,32.2288054,-110.9488677,2014.0,16.0,26.0,2.0,157.0,0.6153846153846154
Arizona,,32.2288054,-110.9488677,2015.0,18.0,27.0,1.0,208.0,0.6666666666666666
Arizona,,32.2288054,-110.9488677,2016.0,17.0,27.0,1.0,109.0,0.6296296296296297
Arizona,,32.2288054,-110.9488677,2017.0,10.0,25.0,1.0,-142.0,0.4
Arizona,,32.2288054,-110.9488677,2018.0,10.0,25.0,0.0,-73.0,0.4
Arizona,,32.2288054,-110.9488677,2019.0,12.0,25.0,0.0,75.0,0.48
Arizona,,32.2288054,-110.9488677,2020.0,9.0,24.0,0.0,-121.0,0.375
Arizona,,32.2288054,-110.9488677,2021.0,4.0,17.0,0.0,-218.0,0.23529411764705882
Arizona,,32.2288054,-110.9488677,2022.0,1.0,17.0,0.0,-283.0,0.058823529411764705
Arizona,,32.2288054,-110.9488677,2023.0,6.0,24.0,0.0,-239.0,0.25
Arizona,,32.2288054,-110.9488677,2024.0,15.0,25.0,1.0,108.0,0.6
Arizona State,,33.4264471,-111.9325005,2010.0,,,,,
Arizona State,,33.4264471,-111.9325005,2011.0,,,,,
Arizona State,,33.4264471,-111.9325005,2012.0,12.0,25.0,0.0,146.0,0.48
Arizona State,,33.4264471,-111.9325005,2013.0,14.0,26.0,1.0,242.0,0.5384615384615384
Arizona State,,33.4264471,-111.9325005,2014.0,18.0,27.0,1.0,366.0,0.6666666666666666
Arizona State,,33.4264471,-111.9325005,2015.0,20.0,27.0,1.0,300.0,0.7407407407407407
Arizona State,,33.4264471,-111.9325005,2016.0,16.0,26.0,1.0,132.0,0.6153846153846154
Arizona State,,33.4264471,-111.9325005,2017.0,11.0,25.0,0.0,-63.0,0.44
Arizona State,,33.4264471,-111.9325005,2018.0,12.0,25.0,0.0,-91.0,0.48
Arizona State,,33.4264471,-111.9325005,2019.0,14.0,26.0,0.0,44.0,0.5384615384615384
Arizona State,,33.4264471,-111.9325005,2020.0,15.0,26.0,1.0,88.0,0.5769230769230769
Arizona State,,33.4264471,-111.9325005,2021.0,10.0,17.0,1.0,99.0,0.5882352941176471
Arizona State,,33.4264471,-111.9325005,2022.0,10.0,17.0,0.0,166.0,0.5882352941176471
Arizona State,,33.4264471,-111.9325005,2023.0,11.0,25.0,0.0,34.0,0.44
Arizona State,,33.4264471,-111.9325005,2024.0,6.0,24.0,0.0,-233.0,0.25
Arkansas,,36.0680662,-94.1789534,2010.0,,,,,
Arkansas,,36.0680662,-94.1789534,2011.0,,,,,
Arkansas,,36.0680662,-94.1789534,2012.0,21.0,26.0,1.0,359.0,0.8076923076923077
Arkansas,,36.0680662,-94.1789534,2013.0,15.0,25.0,1.0,106.0,0.6
Arkansas,,36.0680662,-94.1789534,2014.0,7.0,24.0,0.0,-204.0,0.2916666666666667
Arkansas,,36.0680662,-94.1789534,2015.0,10.0,25.0,1.0,44.0,0.4
Arkansas,,36.0680662,-94.1789534,2016.0,15.0,26.0,2.0,276.0,0.5769230769230769
Arkansas,,36.0680662,-94.1789534,2017.0,15.0,26.0,1.0,101.0,0.5769230769230769
Arkansas,,36.0680662,-94.1789534,2018.0,11.0,25.0,0.0,-99.0,0.44
Arkansas,,36.0680662,-94.1789534,2019.0,6.0,24.0,0.0,-246.0,0.25
Arkansas,,36.0680662,-94.1789534,2020.0,4.0,24.0,0.0,-342.0,0.16666666666666666
Arkansas,,36.0680662,-94.1789534,2021.0,5.0,22.0,0.0,-277.0,0.22727272727272727
Arkansas,,36.0680662,-94.1789534,2022.0,12.0,23.0,1.0,12.0,0.5217391304347826
Arkansas,,36.0680662,-94.1789534,2023.0,16.0,26.0,2.0,129.0,0.6153846153846154
Arkansas,,36.0680662,-94.1789534,2024.0,11.0,25.0,1.0,9.0,0.44
Arkansas State,West,35.8488977,-90.6677436,2010.0,,,,,
Arkansas State,West,35.8488977,-90.6677436,2011.0,,,,,
Arkansas State,West,35.8488977,-90.6677436,2012.0,14.0,25.0,0.0,143.0,0.56
Arkansas State,West,35.8488977,-90.6677436,2013.0,20.0,26.0,1.0,288.0,0.7692307692307693
Arkansas State,West,35.8488977,-90.6677436,2014.0,18.0,26.0,2.0,175.0,0.6923076923076923
Arkansas State,West,35.8488977,-90.6677436,2015.0,15.0,26.0,1.0,120.0,0.5769230769230769
Arkansas State,West,35.8488977,-90.6677436,2016.0,16.0,26.0,0.0,208.0,0.6153846153846154
Arkansas State,West,35.8488977,-90.6677436,2017.0,17.0,26.0,1.0,203.0,0.6538461538461539
Arkansas State,West,35.8488977,-90.6677436,2018.0,15.0,25.0,1.0,221.0,0.6
Arkansas State,West,35.8488977,-90.6677436,2019.0,15.0,25.0,0.0,206.0,0.6
Arkansas State,West,35.8488977,-90.6677436,2020.0,16.0,26.0,1.0,55.0,0.6153846153846154
Arkansas State,West,35.8488977,-90.6677436,2021.0,12.0,24.0,1.0,-53.0,0.5
Arkansas State,West,35.8488977,-90.6677436,2022.0,6.0,23.0,0.0,-207.0,0.2608695652173913
Arkansas State,West,35.8488977,-90.6677436,2023.0,5.0,24.0,0.0,-237.0,0.20833333333333334
Arkansas State,West,35.8488977,-90.6677436,2024.0,9.0,25.0,0.0,-120.0,0.36
Army,,41.3874924,-73.9640891,2010.0,,,,,
Army,,41.3874924,-73.9640891,2011.0,,,,,
Army,,41.3874924,-73.9640891,2012.0,10.0,25.0,1.0,-11.0,0.4
Army,,41.3874924,-73.9640891,2013.0,5.0,24.0,0.0,-174.0,0.20833333333333334
Army,,41.3874924,-73.9640891,2014.0,5.0,24.0,0.0,-219.0,0.20833333333333334
Army,,41.3874924,-73.9640891,2015.0,7.0,24.0,0.0,-182.0,0.2916666666666667
Army,,41.3874924,-73.9640891,2016.0,6.0,24.0,0.0,-165.0,0.25
Army,,41.3874924,-73.9640891,2017.0,10.0,25.0,1.0,62.0,0.4
Army,,41.3874924,-73.9640891,2018.0,18.0,26.0,2.0,244.0,0.6923076923076923
